OBJECTID,EO_ID,ELCODE,Group,EO_NUM,SNAME,SCOMNAME,ELSUBID,ID_CONFIRM,LASTOBS,YEAR,SURVEYDATE,EORANK,GRANK,SRANK,USESA,SPROT,PBSSTATUS,EO_TRACK
1,5725,ABNGA04010,Birds,527,Ardea herodias,Great Blue Heron,10881,Y - Yes,2010,2010,5/1/2017,CD,G5,"S5B,S4N,S4M",,,,Y
2,13068,ABNGA04010,Birds,24,Ardea herodias,Great Blue Heron,10881,Y - Yes,5/12/2017,2017,5/12/2017,E,G5,"S5B,S4N,S4M",,,,Y
3,14054,ABNGA04010,Birds,11,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/13/1987,1987,4/11/2017,E,G5,"S5B,S4N,S4M",,,,Y
4,4383,ABNGA04010,Birds,508,Ardea herodias,Great Blue Heron,10881,Y - Yes,2002,2002,5/3/2017,B,G5,"S5B,S4N,S4M",,,,Y
5,7741,ABNGA04010,Birds,524,Ardea herodias,Great Blue Heron,10881,Y - Yes,5/3/2017,2017,5/3/2017,BC,G5,"S5B,S4N,S4M",,,,Y
6,8297,ABNGA04010,Birds,20,Ardea herodias,Great Blue Heron,10881,Y - Yes,2012,2012,4/10/2017,E,G5,"S5B,S4N,S4M",,,,Y
7,2177,ABNGA04010,Birds,512,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/23/1987,1987,5/4/2017,X?,G5,"S5B,S4N,S4M",,,,Y
8,1677,ABNGA04010,Birds,515,Ardea herodias,Great Blue Heron,10881,Y - Yes,1997,1997,5/17/2013,X,G5,"S5B,S4N,S4M",,,,Y
9,5530,ABNGA04010,Birds,21,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/19/2017,2017,4/19/2017,AB,G5,"S5B,S4N,S4M",,,,Y
10,9155,ABNGA04010,Birds,8,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/26/1997,1997,3/30/2006,X?,G5,"S5B,S4N,S4M",,,,Y
11,8296,ABNGA04010,Birds,19,Ardea herodias,Great Blue Heron,10881,Y - Yes,5/5/2009,2009,5/5/2009,E,G5,"S5B,S4N,S4M",,,,Y
12,14679,ABNGA04010,Birds,506,Ardea herodias,Great Blue Heron,10881,Y - Yes,5/1/2017,2017,5/1/2017,B,G5,"S5B,S4N,S4M",,,,Y
13,13227,ABNGA04010,Birds,5,Ardea herodias,Great Blue Heron,10881,Y - Yes,1984------,1984,,E,G5,"S5B,S4N,S4M",,,,Y
14,13767,ABNGA04010,Birds,507,Ardea herodias,Great Blue Heron,10881,Y - Yes,1984-04,1984,5/3/2017,X?,G5,"S5B,S4N,S4M",,,,Y
15,14105,ABNGA04010,Birds,526,Ardea herodias,Great Blue Heron,10881,Y - Yes,1997,1997,4/20/2017,X?,G5,"S5B,S4N,S4M",,,,Y
16,14189,ABNGA04010,Birds,513,Ardea herodias,Great Blue Heron,10881,Y - Yes,10/26/1993,1993,4/20/2017,C,G5,"S5B,S4N,S4M",,,,Y
17,12020,ABNGA04010,Birds,518,Ardea herodias,Great Blue Heron,10881,Y - Yes,2008,2008,4/20/2017,X?,G5,"S5B,S4N,S4M",,,,Y
18,13015,ABNGA04010,Birds,521,Ardea herodias,Great Blue Heron,10881,Y - Yes,2007,2007,5/10/2017,E,G5,"S5B,S4N,S4M",,,,Y
